date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:19	132/132	---MCZ	200	added ('OK')	text/plain	etag:W/%22b076ced266f766398a27d30b84276785%22	https://www.lazaldivar.com/robots.txt		(from )
11:05:20	26462/26462	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Apr%202026%2017:05:19%20GMT	https://www.lazaldivar.com/	C:/Users/angel/OneDrive/Escritorio/weebly/www.lazaldivar.com/index.html	(from )
11:05:21	4189/4189	---M--	200	added ('OK')	image/jpeg	etag:%22d681047a747ce097e1781b461c51dda1%22	https://www.lazaldivar.com/uploads/1/0/9/9/109930177/published/img-9204.jpg?1543257131	C:/Users/angel/OneDrive/Escritorio/weebly/www.lazaldivar.com/uploads/1/0/9/9/109930177/published/img-9204fdd9.jpg	(from https://www.lazaldivar.com/)
11:05:21	210877/210877	---M-Z	200	added ('OK')	text/css	etag:W/%2269df8a3f-337bd%22	http://cdn2.editmysite.com/css/sites.css?buildTime=1719263531	C:/Users/angel/OneDrive/Escritorio/weebly/cdn2.editmysite.com/css/sites8265.css	(from https://www.lazaldivar.com/)
11:05:22	3911/3911	---M-Z	200	added ('OK')	text/css	etag:%2269de688b-f47%22	http://cdn2.editmysite.com/css/old/fancybox.css?1234	C:/Users/angel/OneDrive/Escritorio/weebly/cdn2.editmysite.com/css/old/fancybox81dc.css	(from https://www.lazaldivar.com/)
11:05:22	12720/12720	---M-Z	200	added ('OK')	text/css	etag:W/%2269e665e0-31b0%22	http://cdn2.editmysite.com/css/social-icons.css?buildtime=1234	C:/Users/angel/OneDrive/Escritorio/weebly/cdn2.editmysite.com/css/social-icons4315.css	(from https://www.lazaldivar.com/)
11:05:24	2620/2620	---M-Z	200	added ('OK')	text/css	etag:%2269e0f30b-a3c%22	http://cdn2.editmysite.com/fonts/Josefin_Sans/font.css?2	C:/Users/angel/OneDrive/Escritorio/weebly/cdn2.editmysite.com/fonts/Josefin_Sans/fontc81e.css	(from https://www.lazaldivar.com/)
11:05:24	852/852	---M-Z	200	added ('OK')	text/css	etag:%2269e0f30c-354%22	http://cdn2.editmysite.com/fonts/Montserrat/font.css?2	C:/Users/angel/OneDrive/Escritorio/weebly/cdn2.editmysite.com/fonts/Montserrat/fontc81e.css	(from https://www.lazaldivar.com/)
11:05:24	42230/42230	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Apr%202026%2017:05:24%20GMT	https://www.lazaldivar.com/files/main_style.css?1719307844	C:/Users/angel/OneDrive/Escritorio/weebly/www.lazaldivar.com/files/main_style2865.css	(from https://www.lazaldivar.com/)
11:05:24	1706/1706	---M-Z	200	added ('OK')	text/css	etag:%2269d51ccd-6aa%22	http://cdn2.editmysite.com/fonts/Lora/font.css?2	C:/Users/angel/OneDrive/Escritorio/weebly/cdn2.editmysite.com/fonts/Lora/fontc81e.css	(from https://www.lazaldivar.com/)
11:05:25	7160/7160	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2022%20Apr%202026%2017:05:24%20GMT	https://www.lazaldivar.com/files/templateArtifacts.js?1719307844	C:/Users/angel/OneDrive/Escritorio/weebly/www.lazaldivar.com/files/templateArtifacts2865.js	(from https://www.lazaldivar.com/)
11:05:25	93636/93636	---M-Z	200	added ('OK')	application/javascript	etag:%2269d963f3-16dc4%22	https://cdn2.editmysite.com/js/jquery-1.8.3.min.js	C:/Users/angel/OneDrive/Escritorio/weebly/cdn2.editmysite.com/js/jquery-1.8.3.min.js	(from https://www.lazaldivar.com/)
11:05:28	976/976	---MC-	200	added ('OK')	text/javascript	date:Wed,%2022%20Apr%202026%2017:05:27%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/angel/OneDrive/Escritorio/weebly/www.google.com/recaptcha/api.js	(from https://www.lazaldivar.com/)
11:05:30	189147/189147	---M-Z	200	added ('OK')	application/javascript	etag:%2269e78249-2e2db%22	http://cdn2.editmysite.com/js/lang/en/stl.js?buildTime=1234&	C:/Users/angel/OneDrive/Escritorio/weebly/cdn2.editmysite.com/js/lang/en/stlaf0d.js	(from https://www.lazaldivar.com/)
